"","from","to","x2","var0","var1","var2","var3","var4","var5","var6","var7","var8","var9","var10","var11","var12","var13","var14","var15","var16","var17","var18","var19","var20","var21","var22","var23","var24","atividade","acesso","acesso_positivo","acesso_negativo","confianca","acessoeconfianca","total","neg_x2","neg_var0","neg_var1","neg_var2","neg_var3","neg_var4","neg_var5","neg_var6","neg_var7","neg_var8","neg_var9","neg_var10","neg_var11","neg_var12","neg_var13","neg_var14","neg_var15","neg_var16","neg_var17","neg_var18","neg_var19","neg_var20","neg_var21","neg_var22","neg_var23","neg_var24","neg_atividade","neg_acesso","neg_acesso_positivo","neg_acesso_negativo","neg_confianca","neg_acessoeconfianca","neg_total","weight","aux_var6","equalone"
"13","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A. Azul e Branco",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"14","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ NARANON Grupo Renascer",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"15","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A. 29 de Junho",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"16","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A. Cidade do Sol",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"17","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A. Caminho Da Salvação",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"18","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A. Dois de Março",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"19","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A. Corrente da Sobriedade",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"20","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A. Milho Branco",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"21","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A. Luz Divina",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"22","UAP_URB_ Nova Era","AJU_MUT_ Grupo A.A. Nova Era",1,0,1,0,0,1,0,1,3,3,1,1,1,3,1,1,1,3,3,2,3,2,3,1,3,3,3,18,13,5,20,38,41,1,0,1,0,0,1,0,1,1,1,-1,-1,-1,1,1,1,1,1,1,0,1,0,1,-1,1,1,3,3,3,5,4,7,10,1,1,1
"23","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A. Nova Era",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"24","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A União",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"25","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A. Bairu",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"26","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo N.A. Caminho Verdade",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"27","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A. Bonfim",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"28","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A. Linhares",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"29","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A Redenção Abolição",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"30","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A. Progresso",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"31","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A. Estrela D´Alva",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"32","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A. Primeira Tradição",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"33","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A. Estrela do Oriente",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"34","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo de Apoio São Pedro do Amor Exigente (GASPAE)",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"35","AJU_MUT_ Grupo de Apoio São Mateus de Amor Exigente (GASMAE)","AJU_MUT_ Grupo de Apoio São Pedro do Amor Exigente (GASPAE)",1,1,1,1,1,1,0,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,5,24,19,5,24,48,53,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,5,8,17,22,1,1,1
"36","AJU_MUT_ Grupo de Amor Exigente Linhares","AJU_MUT_ Grupo de Apoio São Pedro do Amor Exigente (GASPAE)",1,1,1,1,1,1,0,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,5,24,19,5,24,48,53,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,5,8,17,22,1,1,1
"37","AJU_MUT_ Grupo de Amor Exigente Santa Terezinha","AJU_MUT_ Grupo de Apoio São Pedro do Amor Exigente (GASPAE)",1,1,1,1,1,1,0,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,5,24,19,5,24,48,53,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,5,8,17,22,1,1,1
"38","ENT_SOC_ Grupo Espírita de Ajuda aos Enfermos (GEDAE)","AJU_MUT_ Grupo de Apoio São Pedro do Amor Exigente (GASPAE)",1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,6,24,19,5,24,48,54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,9,9,5,8,17,23,1,1,1
"39","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A Duas Vidas",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"40","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A. Vinte e Cinco de Abril",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"41","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A. Liberdade",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"42","AJU_MUT_ Grupo A.A Primeiro Passo","AJU_MUT_ Grupo A.A. Ipiranga",1,1,0,1,0,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"43","ENT_SOC_ Território Aliança pela Vida  Zona Norte","EA_DQCT_ Centro de Recuperação Resgatando Vidas (Escritório)",1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,5,26,21,5,24,50,55,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,5,7,7,5,8,15,20,1,1,1
"44","EA_DQCT_ Centro Metodista de Assistência aos Toxicômanos – CEMAT","EA_DQCT_ Centro Metodista de Assistência aos Toxicômanos – CEMAT (Escritório)",1,1,0,1,0,0,0,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,2,24,19,5,24,48,50,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,9,9,5,8,17,19,1,1,1
"45","EA_DQCT_ Centro Terapêutico Reconstruir (fazenda)","EA_DQCT_ Centro Terapêutico Reconstruir (escritório)",1,1,0,1,1,1,0,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"46","EA_DQCT_ Grupo de Apoio à Família e aos Dependentes Químicos – GAFADEQUI","EA_DQCT_ Grupo de Apoio à Família e aos Dependentes Químicos – GAFADEQUI (Administração, triagem e apoio aos familiares)",1,0,0,1,1,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,5,24,19,5,24,48,53,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,5,8,17,22,1,1,1
"47","EA_DQCT_ Grupo de Apoio à Família e aos Dependentes Químicos – GAFADEQUI.1","EA_DQCT_ Grupo de Apoio à Família e aos Dependentes Químicos – GAFADEQUI (Administração, triagem e apoio aos familiares)",1,1,0,1,1,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,5,24,19,5,24,48,53,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,5,8,17,22,1,1,1
"48","EA_DQCT_ Vila Verde (Unidade Borboleta)","EA_DQCT_ Vila Verde (Unidade Bromélias)",1,1,0,1,1,1,0,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,4,28,21,7,24,52,56,1,1,0,1,1,1,0,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,4,5,7,7,8,13,17,1,1,1
"49","EA_DQCT_ Grupo de Apoio à Família e aos Dependentes Químicos – GAFADEQUI (Administração, triagem e apoio aos familiares)","EA_DQCT_ Grupo de Apoio à Família e aos Dependentes Químicos – GAFADEQUI",1,1,1,0,1,1,0,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"50","EA_DQCT_ Grupo de Apoio à Família e aos Dependentes Químicos – GAFADEQUI.1","EA_DQCT_ Grupo de Apoio à Família e aos Dependentes Químicos – GAFADEQUI",1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,6,24,19,5,24,48,54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,9,9,5,8,17,23,1,1,1
"51","EA_DQCT_ Centro de Recuperação Resgatando Vidas (Escritório)","EA_DQCT_ Centro de Recuperação Resgatando Vidas",1,0,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,6,24,19,5,24,48,54,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,9,9,5,8,17,23,1,1,1
"52","ENT_SOC_ Território Aliança pela Vida  Zona Norte","EA_DQCT_ Centro de Recuperação Resgatando Vidas",1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,5,26,21,5,24,50,55,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,5,7,7,5,8,15,20,1,1,1
"53","EA_DQCT_ Grupo de Apoio à Família e aos Dependentes Químicos – GAFADEQUI (Administração, triagem e apoio aos familiares)","EA_DQCT_ Grupo de Apoio à Família e aos Dependentes Químicos – GAFADEQUI.1",1,1,1,0,1,1,0,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"54","EA_DQCT_ Grupo de Apoio à Família e aos Dependentes Químicos – GAFADEQUI","EA_DQCT_ Grupo de Apoio à Família e aos Dependentes Químicos – GAFADEQUI.1",1,0,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,6,24,19,5,24,48,54,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,9,9,5,8,17,23,1,1,1
"55","ENT_SOC_ Associação Beneficente e Cultural Amigos do Noivo (ABAN)","ENT_SOC_ Associação Beneficente e Cultural Amigos do Noivo (ABAN) (Matriz)",1,1,0,1,1,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,5,24,19,5,24,48,53,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,5,8,17,22,1,1,1
"56","ENT_SOC_ Território Aliança pela Vida  Zona Norte","ENT_SOC_ Associação Casa Viva",1,1,1,0,1,1,0,1,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,4,26,21,5,24,50,54,1,1,1,0,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,4,7,7,5,8,15,19,1,1,1
"57","ENT_SOC_ Associação Beneficente e Cultural Amigos do Noivo (ABAN) (Matriz)","ENT_SOC_ Associação Beneficente e Cultural Amigos do Noivo (ABAN) Dom Bosco",1,1,1,0,0,0,1,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,24,19,5,24,48,51,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,9,9,5,8,17,20,1,1,1
"58","ENT_SOC_ Associação Beneficente e Cultural Amigos do Noivo (ABAN)","ENT_SOC_ Associação Beneficente e Cultural Amigos do Noivo (ABAN) Dom Bosco",1,1,1,0,0,1,0,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,24,19,5,24,48,51,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,9,9,5,8,17,20,1,1,1
"59","RES_TER_ Casa 1","ENT_SOC_ Grupo Espírita de Ajuda aos Enfermos (GEDAE)",1,1,1,1,1,1,0,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,5,24,19,5,24,48,53,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,5,8,17,22,1,1,1
"60","RES_TER_ Casa 7","ENT_SOC_ Grupo Espírita de Ajuda aos Enfermos (GEDAE)",1,1,1,0,1,1,0,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
"61","UAP_RUR_ Igrejinha","ASS_HOS_ Serviço de Controle e Prevenção e Tratamento do Tabagismo (SECOPTT)",1,1,1,1,0,1,0,1,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,4,26,19,7,24,50,54,1,1,1,1,0,1,0,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,4,3,5,7,8,11,15,1,1,1
"62","UAP_RUR_ Monte Verde","ASS_HOS_ Serviço de Controle e Prevenção e Tratamento do Tabagismo (SECOPTT)",1,1,0,0,0,0,0,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,28,21,7,24,52,53,1,1,0,0,0,0,0,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,5,7,7,8,13,14,1,1,1
"63","UAP_RUR_ Pirapetinga","ASS_HOS_ Serviço de Controle e Prevenção e Tratamento do Tabagismo (SECOPTT)",1,1,0,0,0,0,0,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,28,21,7,24,52,53,1,1,0,0,0,0,0,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,5,7,7,8,13,14,1,1,1
"64","UAP_RUR_ Torreões","ASS_HOS_ Serviço de Controle e Prevenção e Tratamento do Tabagismo (SECOPTT)",1,1,0,0,0,0,0,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,28,21,7,24,52,53,1,1,0,0,0,0,0,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,5,7,7,8,13,14,1,1,1
"65","UAP_URB_ São Benedito","ASS_HOS_ Serviço de Controle e Prevenção e Tratamento do Tabagismo (SECOPTT)",1,1,0,1,0,1,0,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,24,19,5,24,48,51,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,9,9,5,8,17,20,1,1,1
"66","UAP_URB_ Bairro de Lourdes","ASS_HOS_ Serviço de Controle e Prevenção e Tratamento do Tabagismo (SECOPTT)",1,1,1,1,0,1,0,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,24,19,5,24,48,52,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,5,8,17,21,1,1,1
